,15.56,15.68,17.35,17.53,17.67,
delay,P1Sum,P2Sum,P3Sum,P4Sum,P5Sum,
0.0,45,45,45,45,45,
0.1,45,45,45,45,45,
0.2,45,45,45,45,45,
0.3,45,45,45,45,45,
0.4,45,45,45,45,45,
0.5,45,45,45,45,45,
0.6,45,45,45,45,45,
0.7,45,45,45,45,45,
0.8,45,45,45,45,45,
0.9,45,45,45,45,45,
1.0,45,45,45,45,45,
1.1,45,45,45,45,45,
1.2,45,45,45,45,45,
1.3,45,45,45,45,45,
1.4,45,45,45,45,45,
1.5,45,45,45,45,45,
1.6,45,45,45,45,45,
1.7,45,45,45,45,45,
1.8,45,45,45,45,45,
1.9,45,45,45,45,45,
2.0,45,45,45,45,45,
2.1,45,45,45,45,45,
2.2,45,45,45,45,45,
2.3,45,45,45,45,45,
2.4,45,45,45,45,45,
2.5,45,45,45,45,45,
2.6,45,45,45,45,45,
2.7,45,45,45,45,45,
2.8,45,45,45,45,45,
2.9,45,45,45,45,45,
3.0,45,45,45,45,45,
3.1,45,45,45,45,45,
3.2,45,45,45,45,45,
3.3,45,45,45,45,45,
3.4,45,45,45,45,45,
3.5,45,45,45,45,45,
3.6,45,45,45,45,45,
3.7,45,45,45,45,45,
3.8,45,45,45,45,45,
3.9,45,45,45,45,45,
4.0,45,45,45,45,45,
4.1,45,45,45,45,45,
4.2,45,45,45,45,45,
4.3,45,45,45,45,45,
4.4,45,45,45,45,45,
4.5,45,45,45,45,45,
4.6,45,45,45,45,45,
4.7,45,45,45,45,45,
4.8,45,45,45,45,45,
4.9,45,45,45,45,45,
5.0,45,45,45,45,45,
5.1,45,45,45,45,45,
5.2,45,45,45,45,45,
5.3,45,45,45,45,45,
5.4,44,45,45,45,44,
5.5,44,45,45,45,44,
5.6,44,44,45,45,44,
5.7,43,44,45,45,43,
5.8,43,44,45,45,43,
5.9,43,43,45,45,43,
6.0,43,43,45,45,43,
6.1,42,43,45,45,42,
6.2,42,43,45,45,42,
6.3,42,42,45,45,42,
6.4,41,42,45,45,41,
6.5,41,42,45,45,41,
6.6,41,41,45,45,41,
6.7,41,41,45,45,41,
6.8,40,41,45,45,40,
6.9,40,40,45,45,40,
7.0,40,40,45,45,40,
7.1,39,40,45,44,39,
7.2,39,39,45,44,39,
7.3,39,39,45,43,39,
7.4,38,39,45,43,38,
7.5,38,38,45,43,38,
7.6,38,38,45,42,38,
7.7,37,37,45,42,37,
7.8,37,37,45,42,37,
7.9,37,36,45,41,37,
8.0,37,36,45,41,37,
8.1,36,35,45,41,36,
8.2,36,35,45,40,36,
8.3,36,35,45,40,36,
8.4,35,34,45,40,35,
8.5,35,34,45,40,35,
8.6,35,33,45,39,35,
8.7,34,33,45,39,34,
8.8,34,33,45,39,34,
8.9,34,33,45,38,34,
9.0,34,32,45,38,34,
9.1,33,32,44,38,33,
9.2,33,32,44,37,33,
9.3,33,31,44,37,33,
9.4,32,31,43,37,32,
9.5,32,31,43,36,32,
9.6,32,31,43,36,32,
9.7,32,30,42,36,32,
9.8,31,30,42,35,31,
9.9,31,30,42,35,31,
10.0,31,29,41,35,31,
10.1,30,29,41,35,30,
10.2,30,29,41,34,30,
10.3,30,28,40,34,30,
10.4,30,28,40,34,30,
10.5,29,27,40,33,29,
10.6,28,27,39,33,28,
10.7,28,26,39,33,28,
10.8,27,26,39,32,27,
10.9,27,26,38,32,27,
11.0,27,25,38,32,27,
11.1,26,25,38,31,26,
11.2,26,24,37,31,26,
11.3,25,24,37,31,25,
11.4,24,23,37,31,24,
11.5,24,23,36,30,24,
11.6,23,22,36,30,23,
11.7,23,22,36,30,23,
11.8,23,22,35,30,23,
11.9,22,21,35,30,22,
12.0,22,21,35,30,22,
12.1,21,20,35,30,21,
12.2,21,20,34,30,21,
12.3,20,20,34,30,20,
12.4,20,19,33,30,20,
12.5,19,19,33,30,19,
12.6,19,18,33,30,19,
12.7,18,18,33,30,18,
12.8,18,17,32,30,18,
12.9,17,17,32,30,17,
13.0,17,16,31,30,17,
13.1,16,16,31,30,16,
13.2,16,16,31,30,16,
13.3,15,15,31,30,15,
13.4,15,15,30,30,15,
13.5,15,15,30,30,15,
13.6,15,15,30,30,15,
13.7,15,15,29,30,15,
13.8,15,15,29,30,15,
13.9,15,15,28,30,15,
14.0,15,15,28,30,15,
14.1,15,15,27,30,15,
14.2,15,15,27,29,15,
14.3,14,15,26,28,15,
14.4,13,14,26,27,15,
14.5,12,13,25,26,15,
14.6,11,12,24,25,15,
14.7,10,11,23,24,15,
14.8,9,10,22,23,15,
14.9,7,9,21,22,15,
15.0,6,8,20,22,15,
15.1,5,7,19,21,15,
15.2,4,6,19,20,15,
15.3,3,4,18,19,15,
15.4,2,3,18,19,15,
15.5,1,2,17,18,15,
15.6,1,1,17,17,15,
15.7,0,1,16,17,15,
15.8,0,0,16,17,15,
15.9,0,0,15,16,14,
16.0,0,0,15,16,14,
16.1,0,0,14,15,13,
16.2,0,0,13,15,12,
16.3,0,0,12,13,11,
16.4,0,0,11,12,11,
16.5,0,0,9,11,10,
16.6,0,0,8,10,9,
16.7,0,0,7,9,8,
16.8,0,0,6,8,7,
16.9,0,0,5,7,7,
17.0,0,0,4,6,6,
17.1,0,0,3,5,5,
17.2,0,0,2,4,4,
17.3,0,0,1,3,3,
17.4,0,0,1,2,3,
17.5,0,0,0,1,2,
