,11.96,14.54,14.81,15.37,17.48,
delay,P1Sum,P2Sum,P3Sum,P4Sum,P5Sum,
0.0,45,45,45,45,45,
0.1,45,45,45,45,45,
0.2,45,45,45,45,45,
0.3,45,45,45,45,45,
0.4,45,45,45,45,45,
0.5,45,45,45,45,45,
0.6,45,45,45,45,45,
0.7,45,45,45,45,45,
0.8,45,45,45,45,45,
0.9,45,45,45,45,45,
1.0,45,45,45,45,45,
1.1,45,45,45,45,45,
1.2,45,45,45,45,45,
1.3,45,45,45,45,45,
1.4,45,45,45,45,45,
1.5,45,45,45,45,45,
1.6,45,45,45,45,45,
1.7,45,45,45,45,45,
1.8,45,45,45,45,45,
1.9,45,45,45,45,45,
2.0,45,45,45,45,45,
2.1,45,45,45,45,45,
2.2,45,45,45,45,45,
2.3,45,45,45,45,45,
2.4,45,45,45,45,45,
2.5,45,45,45,45,45,
2.6,45,45,45,45,45,
2.7,45,45,45,45,45,
2.8,45,45,45,45,45,
2.9,45,45,45,45,45,
3.0,45,45,45,45,45,
3.1,45,45,45,45,45,
3.2,45,45,45,45,45,
3.3,45,45,45,45,45,
3.4,45,45,45,45,45,
3.5,45,45,45,45,45,
3.6,45,45,45,45,45,
3.7,45,45,45,45,45,
3.8,45,45,45,45,45,
3.9,45,45,45,45,45,
4.0,45,45,45,45,45,
4.1,45,45,45,45,45,
4.2,45,45,45,45,45,
4.3,45,45,45,45,45,
4.4,45,45,45,45,45,
4.5,45,45,45,45,45,
4.6,45,45,45,45,45,
4.7,45,45,45,45,45,
4.8,45,45,45,45,45,
4.9,45,45,45,45,45,
5.0,45,45,45,45,45,
5.1,44,45,45,44,45,
5.2,44,45,44,44,45,
5.3,44,45,44,44,45,
5.4,43,45,44,43,45,
5.5,43,45,43,43,45,
5.6,43,45,43,43,45,
5.7,42,45,43,42,45,
5.8,42,45,42,42,45,
5.9,42,45,42,42,45,
6.0,41,45,42,41,45,
6.1,41,45,41,41,45,
6.2,41,45,41,41,45,
6.3,40,45,41,41,45,
6.4,40,45,40,40,45,
6.5,40,45,40,40,45,
6.6,39,45,40,39,45,
6.7,39,45,39,39,45,
6.8,39,45,39,39,45,
6.9,38,45,39,39,45,
7.0,38,45,38,38,45,
7.1,38,45,38,38,45,
7.2,37,45,38,38,45,
7.3,37,45,37,37,45,
7.4,36,45,37,37,45,
7.5,36,45,37,36,45,
7.6,35,45,36,36,45,
7.7,35,45,36,36,45,
7.8,34,45,36,35,45,
7.9,34,45,35,34,45,
8.0,34,45,35,34,45,
8.1,33,45,35,34,45,
8.2,33,45,34,33,45,
8.3,33,45,34,33,45,
8.4,32,45,34,33,45,
8.5,32,45,33,32,45,
8.6,32,45,33,32,45,
8.7,31,45,33,32,45,
8.8,31,45,32,31,45,
8.9,31,45,32,31,45,
9.0,30,45,32,31,45,
9.1,30,44,31,30,45,
9.2,29,44,31,30,45,
9.3,28,44,31,30,45,
9.4,27,43,30,29,45,
9.5,26,43,30,29,45,
9.6,25,43,30,28,45,
9.7,24,42,29,28,45,
9.8,23,42,29,27,45,
9.9,22,42,28,27,45,
10.0,21,40,28,26,45,
10.1,20,40,27,26,44,
10.2,19,39,27,25,44,
10.3,18,38,26,25,44,
10.4,17,38,26,24,43,
10.5,16,38,25,24,43,
10.6,15,37,25,23,43,
10.7,14,36,24,23,42,
10.8,13,34,24,22,41,
10.9,12,33,23,22,40,
11.0,11,32,23,21,39,
11.1,9,31,22,21,38,
11.2,8,30,22,20,38,
11.3,7,29,21,19,37,
11.4,6,28,21,19,36,
11.5,5,27,20,19,35,
11.6,4,26,20,18,34,
11.7,3,25,19,18,34,
11.8,2,24,19,17,34,
11.9,1,23,18,17,33,
12.0,1,22,18,16,33,
12.1,0,21,17,15,33,
12.2,0,21,17,15,32,
12.3,0,20,16,15,32,
12.4,0,19,16,15,32,
12.5,0,19,16,15,31,
12.6,0,18,15,15,31,
12.7,0,17,15,15,31,
12.8,0,17,15,15,30,
12.9,0,16,15,15,30,
13.0,0,16,15,15,30,
13.1,0,15,15,15,29,
13.2,0,15,15,15,29,
13.3,0,14,15,15,28,
13.4,0,13,15,15,28,
13.5,0,11,14,15,27,
13.6,0,10,13,15,27,
13.7,0,9,12,15,26,
13.8,0,8,11,15,26,
13.9,0,7,10,15,25,
14.0,0,6,9,15,25,
14.1,0,5,8,14,24,
14.2,0,4,7,13,24,
14.3,0,3,6,12,23,
14.4,0,2,5,11,23,
14.5,0,1,4,10,23,
14.6,0,1,3,9,22,
14.7,0,0,2,8,22,
14.8,0,0,1,6,21,
14.9,0,0,1,5,21,
15.0,0,0,0,4,20,
15.1,0,0,0,3,20,
15.2,0,0,0,2,19,
15.3,0,0,0,1,19,
15.4,0,0,0,1,18,
15.5,0,0,0,0,18,
15.6,0,0,0,0,17,
15.7,0,0,0,0,17,
15.8,0,0,0,0,16,
15.9,0,0,0,0,16,
16.0,0,0,0,0,15,
16.1,0,0,0,0,15,
16.2,0,0,0,0,14,
16.3,0,0,0,0,13,
16.4,0,0,0,0,12,
16.5,0,0,0,0,11,
16.6,0,0,0,0,10,
16.7,0,0,0,0,9,
16.8,0,0,0,0,8,
16.9,0,0,0,0,7,
17.0,0,0,0,0,6,
17.1,0,0,0,0,4,
17.2,0,0,0,0,3,
17.3,0,0,0,0,2,
