,166.1421,186.9231,190.6406,202.8552,211.9216,
delay,P1Sum,P2Sum,P3Sum,P4Sum,P5Sum,
0,45,45,45,45,45,
1,45,45,45,45,45,
2,45,45,45,45,45,
3,45,45,45,45,45,
4,45,45,45,45,45,
5,45,45,45,45,45,
6,45,45,45,45,45,
7,45,45,45,45,45,
8,45,45,45,45,45,
9,45,45,45,45,45,
10,45,45,45,45,45,
11,45,45,45,45,45,
12,45,45,45,45,45,
13,45,45,45,45,45,
14,45,45,45,45,45,
15,45,45,45,45,45,
16,45,45,45,45,45,
17,45,45,45,45,45,
18,45,45,45,45,45,
19,45,45,45,45,45,
20,45,45,45,45,45,
21,45,45,45,45,45,
22,45,45,45,45,45,
23,45,45,45,45,45,
24,45,45,45,45,45,
25,45,45,45,45,45,
26,45,45,45,45,45,
27,45,45,45,45,45,
28,45,45,45,45,45,
29,45,45,45,45,45,
30,45,45,45,45,45,
31,45,45,45,45,45,
32,45,45,45,45,45,
33,45,45,45,45,45,
34,45,45,45,45,45,
35,45,45,45,45,45,
36,45,45,45,45,45,
37,45,45,45,45,45,
38,45,45,45,45,45,
39,45,45,45,45,45,
40,45,45,45,45,45,
41,45,45,45,45,45,
42,45,45,45,45,45,
43,45,45,45,45,45,
44,45,45,45,45,45,
45,45,45,45,45,45,
46,45,45,45,45,45,
47,45,45,45,45,45,
48,45,45,45,45,45,
49,45,45,45,45,45,
50,45,45,45,45,45,
51,45,45,45,45,45,
52,45,45,45,45,45,
53,45,45,45,45,45,
54,45,45,45,45,45,
55,45,45,45,45,45,
56,45,45,45,45,45,
57,45,45,45,45,45,
58,45,45,45,45,45,
59,45,45,45,45,45,
60,45,45,45,45,45,
61,45,45,45,45,45,
62,45,45,45,45,45,
63,45,45,45,45,45,
64,45,45,45,45,45,
65,45,45,45,45,45,
66,45,45,45,45,45,
67,45,45,45,45,45,
68,45,45,45,45,45,
69,45,45,45,45,45,
70,45,45,45,45,45,
71,45,45,45,45,45,
72,45,45,45,45,45,
73,45,45,45,45,45,
74,45,45,45,45,45,
75,45,45,45,45,45,
76,45,45,45,45,45,
77,45,45,45,45,45,
78,45,45,45,45,45,
79,45,45,45,45,45,
80,45,45,45,45,45,
81,45,45,45,45,45,
82,45,44,45,45,45,
83,45,44,45,45,44,
84,45,44,45,45,44,
85,44,44,45,45,44,
86,44,43,44,44,44,
87,44,43,44,44,43,
88,44,43,44,44,43,
89,43,43,44,44,43,
90,43,42,43,43,43,
91,43,42,43,43,42,
92,43,42,43,43,42,
93,43,42,43,43,42,
94,42,41,42,42,42,
95,42,41,42,42,41,
96,42,41,42,42,41,
97,41,41,42,42,41,
98,41,40,41,41,41,
99,41,40,41,41,41,
100,41,40,41,41,40,
101,40,40,41,41,40,
102,40,39,40,40,40,
103,40,39,40,40,40,
104,40,39,40,40,39,
105,39,39,40,40,39,
106,39,38,39,39,39,
107,38,38,39,39,39,
108,38,38,39,39,38,
109,38,38,38,38,38,
110,37,37,38,38,38,
111,37,37,37,38,38,
112,37,37,37,37,37,
113,36,37,36,37,37,
114,36,37,36,36,37,
115,35,37,36,36,37,
116,35,36,35,36,36,
117,35,36,35,35,36,
118,34,36,34,35,36,
119,34,36,34,34,36,
120,33,35,34,34,35,
121,33,35,33,33,35,
122,33,35,33,33,35,
123,32,35,33,33,35,
124,32,34,32,33,34,
125,32,34,32,32,34,
126,32,34,32,32,34,
127,32,33,32,32,34,
128,31,33,32,32,33,
129,31,33,31,32,33,
130,30,33,31,31,33,
131,29,33,31,31,33,
132,29,32,30,31,33,
133,29,32,30,30,32,
134,27,32,30,30,32,
135,27,32,29,30,32,
136,26,31,29,29,32,
137,25,31,29,29,31,
138,24,30,28,29,31,
139,23,30,28,28,31,
140,23,29,28,28,31,
141,22,29,27,27,30,
142,21,28,27,27,30,
143,20,28,27,27,30,
144,19,28,26,26,30,
145,19,27,26,26,30,
146,17,26,26,25,30,
147,17,26,25,25,29,
148,16,25,25,25,29,
149,15,25,24,24,29,
150,14,24,24,24,29,
151,13,23,24,23,28,
152,13,23,23,23,28,
153,12,22,23,22,28,
154,11,21,23,22,28,
155,10,21,22,22,27,
156,9,20,22,21,27,
157,9,19,21,21,27,
158,8,19,21,20,27,
159,7,18,21,20,26,
160,6,18,20,20,26,
161,5,17,20,19,26,
162,5,16,20,19,25,
163,3,16,19,18,25,
164,3,15,19,18,25,
165,2,14,18,17,25,
166,1,14,18,17,24,
167,1,13,16,17,23,
168,0,13,16,16,23,
169,0,12,15,16,22,
170,0,11,14,15,22,
171,0,11,13,15,21,
172,0,10,12,15,20,
173,0,9,12,15,20,
174,0,9,11,15,19,
175,0,8,10,15,19,
176,0,7,10,15,19,
177,0,7,9,15,18,
178,0,6,9,15,18,
179,0,6,8,15,18,
180,0,5,7,15,17,
181,0,4,7,15,17,
182,0,4,6,15,17,
183,0,3,5,15,17,
184,0,2,5,15,16,
185,0,2,4,15,16,
186,0,1,3,15,16,
187,0,1,3,15,15,
188,0,0,2,15,15,
189,0,0,2,15,15,
190,0,0,1,15,14,
191,0,0,1,15,14,
192,0,0,0,13,13,
193,0,0,0,12,13,
194,0,0,0,11,12,
195,0,0,0,10,11,
196,0,0,0,9,11,
197,0,0,0,7,10,
198,0,0,0,6,9,
199,0,0,0,5,9,
200,0,0,0,4,8,
201,0,0,0,3,7,
202,0,0,0,2,7,
203,0,0,0,1,6,
204,0,0,0,0,6,
205,0,0,0,0,5,
206,0,0,0,0,4,
207,0,0,0,0,4,
208,0,0,0,0,3,
209,0,0,0,0,2,
210,0,0,0,0,2,
