,221.0983,226.5684,257.9509,263.4209,274.0172,
delay,P1Sum,P2Sum,P3Sum,P4Sum,P5Sum,
0,45,45,45,45,45,
1,45,45,45,45,45,
2,45,45,45,45,45,
3,45,45,45,45,45,
4,45,45,45,45,45,
5,45,45,45,45,45,
6,45,45,45,45,45,
7,45,45,45,45,45,
8,45,45,45,45,45,
9,45,45,45,45,45,
10,45,45,45,45,45,
11,45,45,45,45,45,
12,45,45,45,45,45,
13,45,45,45,45,45,
14,45,45,45,45,45,
15,45,45,45,45,45,
16,45,45,45,45,45,
17,45,45,45,45,45,
18,45,45,45,45,45,
19,45,45,45,45,45,
20,45,45,45,45,45,
21,45,45,45,45,45,
22,45,45,45,45,45,
23,45,45,45,45,45,
24,45,45,45,45,45,
25,45,45,45,45,45,
26,45,45,45,45,45,
27,45,45,45,45,45,
28,45,45,45,45,45,
29,45,45,45,45,45,
30,45,45,45,45,45,
31,45,45,45,45,45,
32,45,45,45,45,45,
33,45,45,45,45,45,
34,45,45,45,45,45,
35,45,45,45,45,45,
36,45,45,45,45,45,
37,45,45,45,45,45,
38,45,45,45,45,45,
39,45,45,45,45,45,
40,45,45,45,45,45,
41,45,45,45,45,45,
42,45,45,45,45,45,
43,45,45,45,45,45,
44,45,45,45,45,45,
45,45,45,45,45,45,
46,45,45,45,45,45,
47,45,45,45,45,45,
48,45,45,45,45,45,
49,45,45,45,45,45,
50,45,45,45,45,45,
51,45,45,45,45,45,
52,45,45,45,45,45,
53,45,45,45,45,45,
54,45,45,45,45,45,
55,45,45,45,45,45,
56,45,45,45,45,45,
57,45,45,45,45,45,
58,45,45,45,45,45,
59,45,45,45,45,45,
60,45,45,45,45,45,
61,45,45,45,45,45,
62,45,45,45,45,45,
63,45,45,45,45,45,
64,45,45,45,45,45,
65,45,45,45,45,45,
66,45,45,45,45,45,
67,45,45,45,45,45,
68,45,45,45,45,45,
69,45,45,45,45,45,
70,45,45,45,45,45,
71,45,45,45,45,45,
72,45,45,45,45,45,
73,45,45,45,45,45,
74,45,45,45,45,45,
75,45,45,45,45,45,
76,45,45,45,45,45,
77,45,45,45,45,45,
78,45,45,45,45,45,
79,45,45,45,45,45,
80,45,45,45,45,45,
81,45,45,45,45,45,
82,45,45,45,45,45,
83,45,45,45,45,45,
84,45,45,45,45,45,
85,45,45,45,45,45,
86,45,45,45,45,45,
87,45,45,45,45,45,
88,45,45,45,45,45,
89,45,45,45,45,45,
90,45,45,45,45,45,
91,45,45,45,45,45,
92,45,45,45,45,45,
93,45,45,45,45,45,
94,45,45,45,45,45,
95,45,45,45,45,45,
96,45,45,45,45,45,
97,45,45,45,45,45,
98,45,45,45,45,45,
99,45,45,45,45,45,
100,45,45,45,45,45,
101,45,45,45,45,45,
102,45,45,45,45,45,
103,45,45,45,45,45,
104,45,45,45,45,45,
105,45,45,45,45,45,
106,45,45,45,45,45,
107,45,45,45,45,45,
108,45,44,45,45,45,
109,45,44,45,45,45,
110,44,44,45,45,45,
111,44,44,45,45,45,
112,44,44,45,45,45,
113,44,43,45,45,45,
114,43,43,45,45,44,
115,43,43,45,45,44,
116,43,43,45,45,44,
117,43,43,45,45,44,
118,42,42,45,45,43,
119,42,42,45,45,43,
120,42,42,45,45,43,
121,41,42,45,45,43,
122,41,42,45,45,42,
123,41,42,45,45,42,
124,41,41,45,45,42,
125,40,41,44,45,42,
126,40,41,44,45,41,
127,39,41,44,45,41,
128,39,41,44,45,41,
129,39,40,44,45,41,
130,38,40,43,45,40,
131,38,40,43,45,40,
132,38,40,43,45,40,
133,37,39,43,45,39,
134,37,39,43,45,39,
135,37,39,42,45,39,
136,37,39,42,45,39,
137,36,38,42,45,38,
138,36,38,42,45,38,
139,36,38,41,45,38,
140,35,38,41,45,38,
141,35,38,41,45,37,
142,35,37,41,45,37,
143,35,37,41,45,37,
144,34,37,40,45,37,
145,34,37,40,45,36,
146,34,37,40,45,36,
147,34,37,40,45,36,
148,34,36,40,45,35,
149,33,36,39,45,35,
150,33,36,39,45,35,
151,33,36,39,45,35,
152,33,36,39,45,35,
153,33,35,39,45,35,
154,32,35,39,44,34,
155,32,35,38,44,34,
156,32,35,38,44,34,
157,32,34,38,44,34,
158,32,34,38,44,33,
159,31,34,38,44,33,
160,31,33,37,43,33,
161,31,33,37,43,33,
162,31,32,37,43,33,
163,31,32,37,43,32,
164,30,32,37,43,32,
165,30,32,36,42,32,
166,30,31,36,42,32,
167,30,30,36,42,32,
168,30,30,36,42,31,
169,29,30,35,42,31,
170,29,30,34,41,31,
171,28,29,34,41,31,
172,28,28,34,41,31,
173,27,28,34,41,30,
174,27,28,33,41,30,
175,26,28,32,41,30,
176,25,27,32,40,30,
177,25,27,32,40,30,
178,24,26,32,40,30,
179,24,26,31,39,29,
180,23,26,30,39,29,
181,23,25,30,38,29,
182,22,25,30,38,29,
183,22,24,30,38,28,
184,21,24,29,38,28,
185,21,23,29,37,28,
186,20,23,28,36,28,
187,19,22,28,36,27,
188,19,21,28,36,27,
189,18,21,27,36,27,
190,18,20,27,35,26,
191,17,20,26,34,26,
192,17,19,26,34,26,
193,16,19,26,34,26,
194,15,18,25,34,26,
195,15,18,25,34,25,
196,14,17,24,33,25,
197,14,17,24,32,25,
198,13,16,24,32,24,
199,13,15,24,32,24,
200,12,15,23,32,24,
201,12,14,23,31,24,
202,11,14,23,30,24,
203,11,13,23,30,23,
204,10,13,22,30,23,
205,9,12,22,30,23,
206,9,11,22,29,22,
207,8,11,21,29,22,
208,8,10,21,28,22,
209,7,10,21,28,22,
210,7,9,21,28,21,
211,6,9,20,27,21,
212,5,8,20,27,21,
213,5,7,20,26,20,
214,4,7,20,26,20,
215,4,6,19,26,20,
216,3,6,19,25,20,
217,3,5,19,25,20,
218,2,5,19,24,19,
219,2,4,18,24,19,
220,1,4,18,24,19,
221,1,3,18,24,19,
222,1,3,18,23,18,
223,0,2,17,22,18,
224,0,2,17,22,18,
225,0,1,17,22,18,
226,0,1,16,22,18,
227,0,1,16,21,17,
228,0,0,16,20,17,
229,0,0,16,20,17,
230,0,0,15,20,17,
231,0,0,15,20,16,
232,0,0,15,19,16,
233,0,0,15,19,16,
234,0,0,15,18,16,
235,0,0,15,18,15,
236,0,0,14,17,15,
237,0,0,14,16,15,
238,0,0,13,16,15,
239,0,0,12,15,15,
240,0,0,12,15,15,
241,0,0,11,14,15,
242,0,0,10,14,15,
243,0,0,10,13,15,
244,0,0,9,12,15,
245,0,0,9,12,15,
246,0,0,8,11,15,
247,0,0,7,11,14,
248,0,0,7,10,14,
249,0,0,6,10,13,
250,0,0,5,9,13,
251,0,0,5,8,12,
252,0,0,4,8,12,
253,0,0,4,7,11,
254,0,0,3,6,11,
255,0,0,2,6,10,
256,0,0,2,5,10,
257,0,0,1,5,9,
258,0,0,1,4,9,
259,0,0,0,3,8,
260,0,0,0,3,8,
261,0,0,0,2,7,
262,0,0,0,1,7,
263,0,0,0,1,6,
264,0,0,0,1,6,
265,0,0,0,0,5,
266,0,0,0,0,5,
267,0,0,0,0,4,
268,0,0,0,0,4,
269,0,0,0,0,3,
270,0,0,0,0,3,
271,0,0,0,0,2,
272,0,0,0,0,2,
273,0,0,0,0,1,
