,14.72,15.57,15.82,16.67,16.84,
delay,P1Sum,P2Sum,P3Sum,P4Sum,P5Sum,
0.0,45,45,45,45,45,
0.1,45,45,45,45,45,
0.2,45,45,45,45,45,
0.3,45,45,45,45,45,
0.4,45,45,45,45,45,
0.5,45,45,45,45,45,
0.6,45,45,45,45,45,
0.7,45,45,45,45,45,
0.8,45,45,45,45,45,
0.9,45,45,45,45,45,
1.0,45,45,45,45,45,
1.1,45,45,45,45,45,
1.2,45,45,45,45,45,
1.3,45,45,45,45,45,
1.4,45,45,45,45,45,
1.5,45,45,45,45,45,
1.6,45,45,45,45,45,
1.7,45,45,45,45,45,
1.8,45,45,45,45,45,
1.9,45,45,45,45,45,
2.0,45,45,45,45,45,
2.1,45,45,45,45,45,
2.2,45,45,45,45,45,
2.3,45,45,45,45,45,
2.4,45,45,45,45,45,
2.5,45,45,45,45,45,
2.6,45,45,45,45,45,
2.7,45,45,45,45,45,
2.8,45,45,45,45,45,
2.9,45,45,45,45,45,
3.0,45,45,45,45,45,
3.1,45,45,45,45,45,
3.2,45,45,45,45,45,
3.3,45,45,45,45,45,
3.4,45,45,45,45,45,
3.5,45,45,45,45,45,
3.6,45,45,45,45,45,
3.7,45,45,45,45,45,
3.8,45,45,45,45,45,
3.9,45,45,45,45,45,
4.0,45,45,45,45,45,
4.1,45,45,45,45,45,
4.2,45,45,45,45,45,
4.3,45,45,45,45,45,
4.4,45,45,45,45,45,
4.5,45,45,45,45,45,
4.6,45,45,45,45,45,
4.7,45,45,45,45,45,
4.8,45,45,45,45,45,
4.9,45,45,45,45,45,
5.0,45,44,45,44,45,
5.1,44,44,44,44,45,
5.2,44,44,44,44,45,
5.3,44,43,44,43,45,
5.4,43,43,43,43,45,
5.5,43,43,43,43,45,
5.6,43,43,43,43,45,
5.7,42,42,42,42,45,
5.8,42,42,42,42,45,
5.9,42,42,42,42,45,
6.0,42,41,42,41,45,
6.1,41,41,41,41,45,
6.2,41,41,41,41,45,
6.3,41,40,41,40,45,
6.4,40,40,40,40,45,
6.5,40,40,40,40,45,
6.6,40,40,40,40,45,
6.7,40,39,40,39,44,
6.8,39,39,39,39,44,
6.9,39,39,39,39,43,
7.0,39,38,39,38,43,
7.1,38,38,38,38,42,
7.2,38,38,38,38,42,
7.3,38,38,38,38,41,
7.4,37,37,37,37,41,
7.5,37,37,37,37,40,
7.6,37,37,37,37,40,
7.7,37,36,37,36,40,
7.8,36,36,36,36,39,
7.9,36,36,36,36,39,
8.0,35,35,35,35,39,
8.1,35,35,35,35,38,
8.2,35,35,35,35,38,
8.3,34,35,34,35,38,
8.4,34,34,34,34,37,
8.5,33,34,33,34,37,
8.6,33,34,33,34,37,
8.7,32,33,32,33,36,
8.8,32,33,32,33,36,
8.9,31,33,31,33,36,
9.0,31,33,31,33,35,
9.1,31,32,31,32,35,
9.2,30,32,30,32,35,
9.3,30,32,30,32,34,
9.4,30,31,30,31,34,
9.5,29,31,29,31,33,
9.6,28,31,28,31,33,
9.7,28,30,28,30,33,
9.8,28,30,28,30,32,
9.9,27,30,27,30,32,
10.0,27,30,27,30,32,
10.1,26,30,26,30,32,
10.2,26,30,26,30,31,
10.3,25,30,25,30,31,
10.4,24,30,24,30,30,
10.5,24,30,24,30,30,
10.6,23,29,24,29,30,
10.7,23,29,23,29,30,
10.8,23,28,23,28,30,
10.9,22,28,22,28,30,
11.0,22,27,22,27,30,
11.1,21,27,21,27,30,
11.2,21,26,21,26,30,
11.3,20,26,20,26,30,
11.4,20,25,20,25,30,
11.5,19,25,20,25,30,
11.6,19,24,19,25,30,
11.7,18,24,18,24,30,
11.8,18,24,18,24,30,
11.9,17,23,18,23,30,
12.0,17,22,17,23,30,
12.1,16,22,17,22,30,
12.2,16,21,16,22,30,
12.3,15,21,16,21,30,
12.4,15,20,15,21,30,
12.5,15,20,15,20,30,
12.6,15,20,15,20,30,
12.7,15,19,15,19,30,
12.8,15,18,15,19,30,
12.9,15,18,15,18,30,
13.0,15,18,15,18,30,
13.1,15,17,15,17,29,
13.2,15,17,15,17,28,
13.3,15,16,15,16,28,
13.4,14,16,15,16,27,
13.5,13,15,15,15,26,
13.6,12,15,15,15,25,
13.7,11,15,15,15,24,
13.8,10,15,15,15,23,
13.9,9,15,15,15,23,
14.0,8,15,15,15,22,
14.1,7,15,15,15,22,
14.2,6,15,15,15,21,
14.3,5,14,15,15,21,
14.4,4,13,15,15,20,
14.5,3,12,14,15,20,
14.6,2,11,13,15,19,
14.7,1,10,12,15,19,
14.8,1,9,11,15,18,
14.9,0,8,10,15,18,
15.0,0,7,9,15,17,
15.1,0,5,8,15,17,
15.2,0,4,7,15,16,
15.3,0,3,6,15,16,
15.4,0,2,5,14,15,
15.5,0,1,4,13,15,
15.6,0,1,3,12,14,
15.7,0,0,2,11,13,
15.8,0,0,1,10,11,
15.9,0,0,1,9,10,
16.0,0,0,0,8,9,
16.1,0,0,0,7,8,
16.2,0,0,0,5,7,
16.3,0,0,0,4,6,
16.4,0,0,0,3,5,
16.5,0,0,0,2,4,
16.6,0,0,0,1,3,
16.7,0,0,0,1,2,
