,11.26,12.12,13.21,13.24,14.07,
delay,P1Sum,P2Sum,P3Sum,P4Sum,P5Sum,
0.0,45,45,45,45,45,
0.1,45,45,45,45,45,
0.2,45,45,45,45,45,
0.3,45,45,45,45,45,
0.4,45,45,45,45,45,
0.5,45,45,45,45,45,
0.6,45,45,45,45,45,
0.7,45,45,45,45,45,
0.8,45,45,45,45,45,
0.9,45,45,45,45,45,
1.0,45,45,45,45,45,
1.1,45,45,45,45,45,
1.2,45,45,45,45,45,
1.3,45,45,45,45,45,
1.4,45,45,45,45,45,
1.5,45,45,45,45,45,
1.6,45,45,45,45,45,
1.7,45,45,45,45,45,
1.8,45,45,45,45,45,
1.9,45,45,45,45,45,
2.0,45,45,45,45,45,
2.1,45,45,45,45,45,
2.2,45,45,45,45,45,
2.3,45,45,45,45,45,
2.4,45,45,45,45,45,
2.5,45,45,45,45,45,
2.6,45,45,45,45,45,
2.7,45,45,45,45,45,
2.8,45,45,45,45,45,
2.9,45,45,45,45,45,
3.0,45,45,45,45,45,
3.1,45,45,45,45,45,
3.2,45,45,45,45,45,
3.3,45,45,45,45,45,
3.4,45,45,45,45,45,
3.5,45,45,45,45,45,
3.6,45,45,45,45,45,
3.7,45,45,45,45,45,
3.8,45,45,45,45,45,
3.9,45,45,45,45,45,
4.0,45,45,45,45,45,
4.1,45,45,45,45,45,
4.2,45,45,45,45,45,
4.3,45,45,45,45,45,
4.4,45,45,45,45,45,
4.5,45,45,45,45,45,
4.6,45,45,45,45,45,
4.7,45,45,45,45,45,
4.8,45,44,45,45,45,
4.9,44,44,44,45,44,
5.0,44,44,44,45,44,
5.1,44,43,44,45,44,
5.2,43,43,43,45,43,
5.3,43,43,43,45,43,
5.4,43,43,43,45,43,
5.5,42,42,43,45,42,
5.6,42,42,42,45,42,
5.7,42,42,42,45,42,
5.8,42,41,42,45,42,
5.9,41,41,41,45,41,
6.0,41,41,41,45,41,
6.1,41,40,41,45,41,
6.2,41,40,41,45,40,
6.3,40,40,40,45,40,
6.4,40,40,40,44,40,
6.5,40,39,40,43,39,
6.6,39,39,39,42,39,
6.7,39,39,39,41,39,
6.8,39,38,39,40,39,
6.9,38,38,38,39,38,
7.0,38,38,38,38,38,
7.1,38,38,38,37,38,
7.2,37,37,38,36,37,
7.3,37,37,37,35,37,
7.4,37,37,37,35,37,
7.5,37,36,37,34,36,
7.6,36,36,36,33,36,
7.7,35,35,36,33,35,
7.8,34,34,35,31,35,
7.9,33,34,35,31,35,
8.0,32,33,35,30,34,
8.1,31,32,34,29,34,
8.2,30,32,34,29,33,
8.3,29,32,33,28,33,
8.4,29,31,33,27,32,
8.5,28,30,33,27,32,
8.6,27,30,32,26,32,
8.7,26,29,32,25,31,
8.8,25,28,31,25,31,
8.9,24,28,31,24,30,
9.0,24,27,30,23,30,
9.1,23,26,30,23,30,
9.2,22,26,30,22,29,
9.3,21,25,29,21,29,
9.4,20,25,29,21,28,
9.5,19,24,28,20,28,
9.6,18,24,28,19,27,
9.7,17,23,28,18,27,
9.8,16,23,27,17,26,
9.9,15,22,26,17,25,
10.0,14,22,26,16,25,
10.1,13,21,25,15,24,
10.2,12,21,25,15,24,
10.3,11,20,25,15,23,
10.4,10,19,24,15,23,
10.5,9,18,24,15,22,
10.6,7,16,23,15,22,
10.7,6,15,22,15,21,
10.8,5,14,22,15,21,
10.9,4,13,21,15,20,
11.0,3,12,21,15,20,
11.1,2,11,21,15,19,
11.2,1,10,20,15,19,
11.3,1,9,20,15,18,
11.4,0,8,19,15,18,
11.5,0,7,18,15,17,
11.6,0,6,17,15,17,
11.7,0,5,16,15,16,
11.8,0,4,15,15,15,
11.9,0,3,14,15,15,
12.0,0,2,13,14,15,
12.1,0,1,12,12,15,
12.2,0,1,11,11,15,
12.3,0,0,10,10,15,
12.4,0,0,9,9,15,
12.5,0,0,8,8,15,
12.6,0,0,7,7,15,
12.7,0,0,6,6,15,
12.8,0,0,5,5,14,
12.9,0,0,4,4,13,
13.0,0,0,3,3,12,
13.1,0,0,2,2,11,
13.2,0,0,1,1,10,
13.3,0,0,1,1,9,
13.4,0,0,0,0,8,
13.5,0,0,0,0,7,
13.6,0,0,0,0,5,
13.7,0,0,0,0,4,
13.8,0,0,0,0,3,
13.9,0,0,0,0,2,
