,16.81,17.74,17.91,17.91,18.77,
delay,P1Sum,P2Sum,P3Sum,P4Sum,P5Sum,
0.0,45,45,45,45,45,
0.1,45,45,45,45,45,
0.2,45,45,45,45,45,
0.3,45,45,45,45,45,
0.4,45,45,45,45,45,
0.5,45,45,45,45,45,
0.6,45,45,45,45,45,
0.7,45,45,45,45,45,
0.8,45,45,45,45,45,
0.9,45,45,45,45,45,
1.0,45,45,45,45,45,
1.1,45,45,45,45,45,
1.2,45,45,45,45,45,
1.3,45,45,45,45,45,
1.4,45,45,45,45,45,
1.5,45,45,45,45,45,
1.6,45,45,45,45,45,
1.7,45,45,45,45,45,
1.8,45,45,45,45,45,
1.9,45,45,45,45,45,
2.0,45,45,45,45,45,
2.1,45,45,45,45,45,
2.2,45,45,45,45,45,
2.3,45,45,45,45,45,
2.4,45,45,45,45,45,
2.5,45,45,45,45,45,
2.6,45,45,45,45,45,
2.7,45,45,45,45,45,
2.8,45,45,45,45,45,
2.9,45,45,45,45,45,
3.0,45,45,45,45,45,
3.1,45,45,45,45,45,
3.2,45,45,45,45,45,
3.3,45,45,45,45,45,
3.4,45,45,45,45,45,
3.5,45,45,45,45,45,
3.6,45,45,45,45,45,
3.7,45,45,45,45,45,
3.8,45,45,45,45,45,
3.9,45,45,45,45,45,
4.0,45,45,45,45,45,
4.1,45,45,45,45,45,
4.2,45,45,45,45,45,
4.3,45,45,45,45,45,
4.4,45,45,45,45,45,
4.5,45,45,45,45,45,
4.6,45,45,45,45,45,
4.7,45,45,45,45,45,
4.8,45,45,45,45,45,
4.9,45,45,45,45,45,
5.0,45,45,45,45,45,
5.1,45,45,45,45,45,
5.2,45,45,45,45,45,
5.3,45,45,45,45,45,
5.4,45,45,45,45,45,
5.5,45,45,45,45,45,
5.6,45,45,45,45,45,
5.7,45,45,45,45,45,
5.8,45,45,45,45,45,
5.9,45,45,45,45,45,
6.0,45,45,45,45,45,
6.1,45,45,45,45,45,
6.2,45,45,45,45,45,
6.3,45,45,45,45,45,
6.4,45,45,45,45,45,
6.5,45,45,45,45,45,
6.6,45,45,45,45,45,
6.7,45,45,45,45,45,
6.8,45,45,45,45,45,
6.9,45,45,45,45,45,
7.0,45,45,45,45,45,
7.1,45,45,45,45,45,
7.2,45,45,45,45,45,
7.3,45,45,45,45,45,
7.4,45,45,45,45,45,
7.5,44,45,44,44,45,
7.6,44,45,44,44,45,
7.7,44,45,44,44,45,
7.8,43,45,43,43,45,
7.9,43,45,43,43,45,
8.0,43,45,43,43,45,
8.1,42,45,43,42,45,
8.2,42,45,42,42,45,
8.3,42,45,42,42,45,
8.4,41,45,42,41,45,
8.5,41,45,41,41,45,
8.6,41,45,41,41,45,
8.7,40,45,41,40,45,
8.8,40,45,40,40,45,
8.9,40,45,40,40,45,
9.0,39,45,40,39,45,
9.1,39,45,39,39,45,
9.2,39,45,39,39,45,
9.3,38,45,39,38,45,
9.4,38,45,38,38,45,
9.5,38,45,38,38,45,
9.6,37,45,38,37,45,
9.7,37,45,37,37,45,
9.8,37,45,37,37,45,
9.9,37,45,37,37,45,
10.0,36,45,36,36,45,
10.1,36,44,36,36,45,
10.2,35,43,36,35,45,
10.3,35,42,35,35,44,
10.4,35,41,35,35,44,
10.5,35,40,35,35,44,
10.6,34,39,34,34,43,
10.7,34,38,34,34,43,
10.8,34,38,34,34,43,
10.9,33,38,33,33,42,
11.0,33,37,33,33,42,
11.1,33,37,33,33,42,
11.2,32,37,32,32,41,
11.3,32,36,32,32,41,
11.4,32,36,32,32,41,
11.5,31,36,31,31,40,
11.6,31,35,31,31,40,
11.7,30,35,30,31,39,
11.8,30,35,30,30,39,
11.9,30,34,30,30,39,
12.0,30,34,30,30,39,
12.1,30,34,30,30,38,
12.2,30,33,30,30,38,
12.3,30,33,30,30,37,
12.4,30,33,30,30,37,
12.5,29,32,30,30,37,
12.6,29,32,30,29,37,
12.7,28,32,30,29,36,
12.8,28,31,30,28,36,
12.9,27,31,30,28,36,
13.0,27,31,30,27,35,
13.1,26,30,30,27,35,
13.2,26,30,30,26,34,
13.3,25,30,30,26,34,
13.4,25,29,30,25,34,
13.5,24,29,30,25,33,
13.6,24,28,30,24,33,
13.7,23,28,30,24,33,
13.8,23,27,30,23,33,
13.9,22,27,30,23,32,
14.0,22,26,30,22,32,
14.1,21,26,30,22,31,
14.2,21,25,30,21,31,
14.3,21,25,30,21,31,
14.4,20,24,30,20,31,
14.5,19,24,30,19,30,
14.6,19,24,30,19,30,
14.7,18,23,30,18,30,
14.8,18,23,30,18,30,
14.9,17,22,29,17,30,
15.0,17,21,29,17,30,
15.1,17,21,28,16,30,
15.2,16,21,28,16,30,
15.3,15,20,27,15,30,
15.4,15,20,27,15,30,
15.5,14,19,26,15,30,
15.6,13,19,25,15,30,
15.7,12,18,24,15,29,
15.8,11,17,23,15,29,
15.9,10,17,22,15,29,
16.0,9,17,21,15,28,
16.1,8,16,20,15,28,
16.2,7,16,19,15,27,
16.3,6,15,17,15,26,
16.4,5,15,16,15,25,
16.5,4,14,15,15,24,
16.6,3,12,14,14,23,
16.7,2,11,13,13,22,
16.8,1,10,12,12,21,
16.9,1,9,11,11,20,
17.0,0,8,10,10,19,
17.1,0,7,9,9,18,
17.2,0,6,8,8,17,
17.3,0,5,7,7,16,
17.4,0,4,6,6,15,
17.5,0,3,5,5,14,
17.6,0,2,4,4,13,
17.7,0,1,3,3,12,
17.8,0,1,2,2,11,
17.9,0,0,1,1,10,
18.0,0,0,1,1,9,
18.1,0,0,0,0,8,
18.2,0,0,0,0,6,
18.3,0,0,0,0,5,
18.4,0,0,0,0,4,
18.5,0,0,0,0,3,
18.6,0,0,0,0,2,
