,10.43,11.29,12.38,13.25,13.31,
delay,P1Sum,P2Sum,P3Sum,P4Sum,P5Sum,
0.0,45,45,45,45,45,
0.1,45,45,45,45,45,
0.2,45,45,45,45,45,
0.3,45,45,45,45,45,
0.4,45,45,45,45,45,
0.5,45,45,45,45,45,
0.6,45,45,45,45,45,
0.7,45,45,45,45,45,
0.8,45,45,45,45,45,
0.9,45,45,45,45,45,
1.0,45,45,45,45,45,
1.1,45,45,45,45,45,
1.2,45,45,45,45,45,
1.3,45,45,45,45,45,
1.4,45,45,45,45,45,
1.5,45,45,45,45,45,
1.6,45,45,45,45,45,
1.7,45,45,45,45,45,
1.8,45,45,45,45,45,
1.9,45,45,45,45,45,
2.0,45,45,45,45,45,
2.1,45,45,45,45,45,
2.2,45,45,45,45,45,
2.3,45,45,45,45,45,
2.4,45,45,45,45,45,
2.5,45,45,45,45,45,
2.6,45,45,45,45,45,
2.7,45,45,45,45,45,
2.8,45,45,45,45,45,
2.9,45,45,45,45,45,
3.0,45,45,45,45,45,
3.1,45,45,45,45,45,
3.2,45,45,45,45,45,
3.3,45,45,45,45,45,
3.4,45,45,45,45,45,
3.5,45,45,45,45,45,
3.6,45,45,45,45,45,
3.7,45,45,45,45,45,
3.8,45,45,45,45,45,
3.9,45,45,45,45,45,
4.0,45,45,45,45,45,
4.1,45,45,45,45,45,
4.2,45,45,45,45,45,
4.3,45,44,45,45,45,
4.4,44,44,45,44,44,
4.5,44,44,44,44,44,
4.6,44,43,44,44,44,
4.7,43,43,43,43,43,
4.8,43,43,43,43,43,
4.9,43,42,43,43,42,
5.0,42,42,42,42,42,
5.1,42,42,42,42,42,
5.2,42,41,42,42,41,
5.3,41,41,41,41,41,
5.4,41,41,41,41,41,
5.5,41,40,41,41,40,
5.6,40,40,40,40,40,
5.7,40,40,40,40,40,
5.8,40,39,40,40,39,
5.9,39,39,40,39,39,
6.0,39,38,39,39,39,
6.1,38,38,39,39,38,
6.2,38,37,38,38,38,
6.3,37,37,38,38,38,
6.4,37,36,38,38,37,
6.5,36,36,37,37,37,
6.6,36,35,37,37,37,
6.7,35,35,37,36,36,
6.8,35,34,36,36,36,
6.9,34,34,36,36,36,
7.0,33,33,36,35,35,
7.1,32,33,35,35,35,
7.2,32,33,35,35,35,
7.3,30,32,35,34,34,
7.4,30,32,34,33,34,
7.5,29,32,33,33,34,
7.6,28,31,33,32,33,
7.7,28,31,32,31,33,
7.8,27,31,31,31,33,
7.9,26,30,31,30,33,
8.0,26,30,30,29,32,
8.1,25,30,29,29,32,
8.2,24,29,29,28,31,
8.3,23,29,28,27,31,
8.4,22,28,27,26,31,
8.5,21,28,27,25,30,
8.6,20,27,26,25,30,
8.7,19,27,25,24,30,
8.8,18,26,25,24,30,
8.9,17,26,24,23,30,
9.0,16,25,24,23,30,
9.1,15,24,23,22,30,
9.2,13,22,23,22,30,
9.3,12,21,22,21,30,
9.4,11,20,22,21,30,
9.5,10,19,21,20,30,
9.6,9,18,21,20,29,
9.7,8,17,20,19,28,
9.8,7,16,20,19,27,
9.9,6,15,19,18,26,
10.0,5,14,19,18,25,
10.1,4,13,18,17,24,
10.2,3,12,18,17,23,
10.3,2,11,17,16,23,
10.4,1,10,17,15,22,
10.5,1,9,16,15,22,
10.6,0,8,16,15,21,
10.7,0,7,15,15,21,
10.8,0,6,15,15,20,
10.9,0,5,15,15,20,
11.0,0,4,15,15,19,
11.1,0,2,14,15,19,
11.2,0,1,13,15,18,
11.3,0,1,12,15,18,
11.4,0,0,11,15,17,
11.5,0,0,10,15,17,
11.6,0,0,9,15,16,
11.7,0,0,8,15,16,
11.8,0,0,7,15,15,
11.9,0,0,6,15,15,
12.0,0,0,5,14,14,
12.1,0,0,3,13,13,
12.2,0,0,2,12,12,
12.3,0,0,1,10,11,
12.4,0,0,1,9,10,
12.5,0,0,0,8,9,
12.6,0,0,0,7,8,
12.7,0,0,0,6,7,
12.8,0,0,0,5,6,
12.9,0,0,0,4,5,
13.0,0,0,0,3,4,
13.1,0,0,0,2,3,
13.2,0,0,0,1,2,
